idx	utterance	sentiment
1	Ok so I finally amped myself up enough to go into the store about a wifi issue I'm having with my phone. I was ready to go down the list of everything I...	3
2	Came into this location to make a cash payment arrived at 2:10pm today , went to try to use the kiosk they have inside the store , warning don't use it it's...	1
3	"Its. Very bad service And big lier people work there
I buy new phone there after when i open the phone i see it's used 
I back to at&t we tell me this not..."	1
4	I've been with AT&T since 2009. I went into the store to purchase another phone and add another phone line to my account. The first five minutes of the...	1
5	The most amazing customer service ever!!! Went to upgrade 4 lines. I was assisted by quasim, garrett, and Katie.  These three employees are a dream team! I...	3
6	"this
 place is the worst att store out there!!!! because they couldn't execute their only job correctly I am now forced to pay a bit over $1,000 in..."	1
7	"Went in to have them swap my phone service from one phone to another and all I got was a copy of ""how to do it at home"" instructions and a kick in the rear...."	1
8	Nowadays it's a crap shoot anywhere and everywhere. Consistency is inconsistent. Daniel was excellent, plenty of products, I was in and out. Happy.	3
9	This place is awful!! The only reason I upgraded is because I have been waiting on this phone forever... I'm so irritated with Allan who is the WORST...	1
10	This store is amazing! Let me tell you guys about Mike (the manager).  My account has been so messed up since sept 29,2018 when I joined AT&T. It has been a...	3
11	Shoutout to Will for selling me a new phone case for my iPhone. Originally went in here with my friend because we were going to buy a new phone but things...	3
12	"Omg this place has the WORSE customer service. After someone jack a$$ stole me  phone and stuff I went to the store to help me and they basically said,""well..."	1
13	Some very poor circumstances warranted a trip to the good ol' AT&T, so needless to say I wasn't exactly a beam of sunshine. Thomas greeted me promptly and...	3
14	One of the greatest buying experiences I've ever had, Luis was super friendly & extremely knowledgable, he took his time and helped me get the best possible...	3
15	Best experience I've ever had in a phone store! My fiancé needed an upgrade and the manager was so thorough and knowledgeable about the phones and making...	3
16	EXCELLENT customer relations.  Active listening, worked very hard to try to resolve our issues with DIRECT TV. Nick is very knowledgeable,  personable and...	3
17	The associates here are so nice and helpful. I would especially like to recognize Yvan. He was terrific when I brought in my tablet that had not been...	3
18	Very disappointed with ATT. Just yesterday I switched service providers in an effort to reduce monthly expenses and before doing so I contact customer care...	1
19	"Come Meet Spongebob at this location today : 9/25! 

AT&T is sponsoring the character's today for you and your family! 

Stop in for some new wireless deals..."	3
20	Had a issue with my phone.  Traveling to another state and found an AT&T store near a mall my wife and I wanted to shop at anyway.  It's located across the...	3
21	Currently waiting in the store, 5 employees including the manager here but only 1 is able to help customers so 20 minutes so far while they just chat at a...	1
22	We experienced excellent service today, arrived Saturday at 10 AM and we were the first people there. Whitney assistants us and she was wonderful to work...	3
23	"Great service from Andrew (even though I didn't deserve it).  Solved my problem and gave me a good deal in the process. 

My iPhone stopped getting cell..."	3
24	"Whenever I have had any issue with my cell phone or my cellphone service or any of my mobile devices I always come to this ATT location .

They are easily..."	3
25	Jin was amazing I believe he is a sales representative I was so confused with my bill and had so many questions he answered every single one of my questions...	3
26	20 minute wait for service only to be told to they could connect me with customer service over the phone to get my problem resolved. They had no...	1
27	Vick is a horrible salesman man and he's a liar!!!! Do not deal with him he told us what our bill would be and we got screwed and he has no professionalism.	1
28	Horrible Customer service. In 2013 I ordered new phones and signed up for a new 2 year commitment. Somehow these idiots found an old address of mine from...	1
